                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6659,                 2.1496,                 1.1178,                0.85382,                0.86585,                0.91146,                0.39722,                 1.7495,                 1.5036,                 1.2358,              0.0006637,              0.0006637,              0.0006637
                      2,                 1.6484,                 1.4792,                 1.1357,                0.90033,                0.88415,                0.92066,                0.38177,                 1.8015,                 1.3678,                 1.2306,              0.0012777,              0.0012777,              0.0012777
                      3,                 1.5984,                 1.3138,                 1.1146,                0.92034,                0.87195,                0.93175,                0.43818,                 1.5514,                 1.1273,                 1.1293,              0.0018389,              0.0018389,              0.0018389
                      4,                 1.5817,                 1.1365,                 1.1207,                 0.9427,                0.90854,                0.95441,                0.43024,                  1.747,                0.98235,                 1.2294,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.5683,                 1.1568,                 1.0939,                 0.9024,                0.84756,                0.92807,                0.48955,                 1.4972,                 1.0332,                 1.1006,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.5804,                 1.0645,                 1.1209,                0.89882,                0.92082,                0.94234,                 0.4802,                 1.5526,                0.90678,                 1.1345,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.5438,                 0.9681,                  1.082,                0.91905,                0.90854,                0.92662,                0.39644,                 1.7704,                 0.9771,                 1.2534,               0.001604,               0.001604,               0.001604
                      8,                 1.5235,                0.93588,                  1.095,                0.90886,                0.86585,                0.86916,                0.36129,                 1.8672,                 1.0111,                 1.2939,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.5117,                0.89866,                 1.0915,                0.89779,                0.92073,                0.93402,                0.44592,                 1.6834,                0.85168,                 1.2006,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.4908,                0.84621,                  1.071,                0.95349,                0.92073,                0.96543,                0.46173,                 1.6114,                 0.8705,                 1.1642,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.4698,                0.85496,                  1.071,                 0.9278,                0.94032,                0.95262,                0.43802,                 1.7801,                0.75763,                 1.2395,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.5101,                0.84767,                 1.0968,                0.94496,                0.94212,                0.95966,                0.49766,                 1.5463,                0.77107,                 1.1156,               0.001208,               0.001208,               0.001208
                     13,                 1.4841,                 0.8007,                 1.0739,                0.94921,                0.93293,                0.94552,                 0.4395,                 1.7302,                0.78734,                 1.2003,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.4687,                 0.7979,                 1.0708,                0.93223,                0.92261,                0.95493,                0.43251,                 1.7802,                0.77488,                 1.2342,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.4568,                0.77665,                 1.0572,                0.94346,                0.92073,                0.96109,                0.46867,                 1.6475,                0.74829,                 1.1636,              0.0009704,              0.0009704,              0.0009704
                     16,                  1.445,                0.75843,                 1.0923,                0.97445,                0.93005,                0.95198,                0.46369,                 1.7143,                 0.7736,                 1.2113,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.4181,                0.70138,                 1.0872,                0.96114,                0.90486,                0.95166,                0.48093,                 1.6661,                0.75686,                  1.179,               0.000812,               0.000812,               0.000812
                     18,                 1.4195,                0.69098,                 1.0884,                 0.9766,                0.95122,                0.98101,                0.51526,                 1.5547,                0.64306,                 1.1231,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.4022,                0.69379,                  1.092,                0.96084,                0.93902,                0.96012,                0.46687,                 1.6621,                 0.7515,                  1.184,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.3959,                0.68486,                 1.0813,                0.95685,                0.94641,                0.95615,                0.47114,                 1.6886,                0.70098,                 1.1904,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.3889,                0.65552,                 1.0871,                0.96329,                0.96005,                0.96339,                0.44827,                 1.7288,                0.68145,                 1.1978,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.3871,                0.63915,                 1.0689,                0.96712,                0.94512,                0.93966,                0.48023,                 1.6531,                0.65638,                 1.1653,               0.000416,               0.000416,               0.000416
                     23,                 1.3797,                0.63036,                 1.0804,                0.96881,                 0.9471,                0.96357,                0.43042,                 1.8053,                0.68854,                 1.2475,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.3447,                0.59625,                 1.0732,                0.97401,                0.95122,                0.95783,                0.45455,                 1.7707,                0.65671,                 1.2208,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.3424,                0.59856,                 1.0612,                0.94881,                0.94512,                0.93562,                0.43258,                 1.8261,                0.69313,                 1.2589,              0.0001784,              0.0001784,              0.0001784
