                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8351,                0.95174,                0.91175,                0.76765,                0.74129,                 0.7834,                0.30994,                 2.0757,                 1.1405,                0.99767,             0.00093466,             0.00093466,             0.00093466
                     36,                 1.8382,                0.91337,                0.91678,                0.80738,                0.68408,                0.78214,                0.30412,                 2.1117,                 1.2435,                 1.0021,             0.00093268,             0.00093268,             0.00093268
                     37,                 1.8418,                0.92553,                0.91796,                0.78645,                0.69403,                0.73625,                0.30425,                 2.0684,                 1.1333,                0.98831,              0.0009307,              0.0009307,              0.0009307
                     38,                 1.8179,                 0.9287,                0.91187,                0.80018,                0.68735,                0.75968,                0.29736,                 2.0721,                 1.1977,                0.99172,             0.00092872,             0.00092872,             0.00092872
                     39,                 1.8336,                0.93249,                0.91721,                0.78823,                0.71393,                0.76549,                0.30556,                  2.013,                 1.1483,                0.99204,             0.00092674,             0.00092674,             0.00092674
                     40,                 1.8422,                0.90911,                0.91762,                0.79872,                0.71144,                0.77974,                0.32368,                 1.9643,                 1.2458,                0.97221,             0.00092476,             0.00092476,             0.00092476
                     41,                 1.8057,                0.91006,                0.91041,                0.84702,                0.72996,                 0.7982,                0.33866,                 1.9899,                 1.1024,                0.98717,             0.00092278,             0.00092278,             0.00092278
                     42,                 1.8001,                0.89648,                 0.9117,                  0.783,                0.72704,                0.75791,                0.31363,                 1.9596,                 1.1672,                  0.981,              0.0009208,              0.0009208,              0.0009208
                     43,                 1.8208,                0.91336,                0.91012,                0.77808,                0.66286,                0.70287,                0.25608,                  2.217,                 1.3868,                 1.0153,             0.00091882,             0.00091882,             0.00091882
                     44,                 1.7695,                0.90836,                0.90926,                0.81624,                 0.6791,                0.76333,                0.30206,                 2.0666,                 1.3522,                0.98802,             0.00091684,             0.00091684,             0.00091684
